,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
,answer_similarity,answer_similarity,answer_similarity,answer_similarity,answer_similarity,answer_similarity,correct,correct,correct,correct,correct,correct
condition,,,,inst blind,inst blind,inst blind,,,,inst blind,inst blind,inst blind
answer_type,number,other,yes/no,number,other,yes/no,number,other,yes/no,number,other,yes/no
model,,,,,,,,,,,,
Qwen3‑VL‑4B | JS‑Blind VQA (n=15),89.2916923076923,81.48007487520799,96.64362795477903,75.75092307692307,52.8301996672213,87.19285714285715,73.28107692307692,74.19542429284526,95.47769784172662,31.844769230769227,22.558236272878535,64.67841726618705
Qwen3‑VL‑4B | SFT‑Blind VQA,88.77107692307692,81.6480449251248,96.62199383350462,75.56615384615385,52.82025790349417,87.40863309352518,71.12707692307693,74.13980865224626,95.30637204522097,31.485846153846154,21.490640599001665,65.26079136690647
Qwen3‑VL‑4B | SFT‑VQA,89.30276923076923,81.43148918469217,96.41228160328879,62.25861538461538,51.02133943427621,86.93941418293936,73.99892307692308,74.79163893510815,95.18648509763618,16.61430769230769,20.797504159733776,65.92908530318603
Qwen3‑VL‑8B,89.64184615384615,81.71227121464226,96.53705035971224,56.555692307692304,50.15499168053245,87.14044193216856,74.97353846153847,75.05540765391015,95.13514902363823,12.409230769230769,21.130241264559068,65.96325796505653
Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),90.16799999999999,81.80108153078203,96.44136690647481,67.23307692307692,52.50981697171381,87.47451181911613,75.12738461538461,75.0,95.15236382322713,21.690461538461538,22.66942595673877,66.03170606372045
Qwen3‑VL‑8B | JS‑Blind VQA (GT),90.22384615384615,81.92350249584027,96.3593525179856,64.20969230769231,52.69084858569052,87.16664953751285,74.35846153846154,75.58232113144759,94.91248715313463,19.127076923076924,22.655158069883527,66.04871531346352
Qwen3‑VL‑8B | JS‑Blind VQA (n=10),90.09261538461539,81.70141430948419,96.41402877697843,75.70153846153846,53.1462146422629,87.90477903391573,74.30676923076923,74.19546589018303,95.01536485097635,31.126923076923077,21.753910149750418,66.66541623843781
Qwen3‑VL‑8B | JS‑Blind VQA (n=15),90.22384615384615,81.92350249584027,96.3593525179856,64.20969230769231,52.69084858569052,87.16664953751285,74.35846153846154,75.58232113144759,94.91248715313463,19.127076923076924,22.655158069883527,66.04871531346352
Qwen3‑VL‑8B | SFT‑Blind MMStar,90.20723076923076,81.80690515806988,96.38669064748201,69.24553846153846,52.74891846921797,87.59779033915726,75.28153846153846,75.3742928452579,95.15236382322713,24.870307692307694,23.043677204658902,66.18586844809866
Qwen3‑VL‑8B | SFT‑Blind VQA,89.80984615384615,81.6845673876872,96.46870503597123,75.52784615384616,53.26984193011647,87.67538540596095,74.40938461538461,73.59920965058237,94.89542651593011,32.40876923076923,21.920465890183028,66.51135662898253
